name,description
"lpg-credit-risk-bn","Labeled Guide Prompting Bayesian Network for credit risk assessment "
"black-swan-bayesian-network","Bayesian network model for financial risk & black swan (rare) events, following Rebonato & Denev"
"around-the-world-in-81-repos","Around the world in 81 repos, inspired by Jules Verne. A journey through numerical research, powered by human creativity and AI collaboration"
"quantum-error-correction","Quantum error correction (QEC) - codes, overviews, ideas"
"bayesian-genetics-analysis","Bayesian genetics analysis - a comparison of Simulated Three-Population Triangle Model with PyMC & STRUCTURE"
"fsharp-dsl","F# is ideal for domain specific languages (DSLs) - examples"
"dl-not-mysterious","Deep Learning is Not So Mysterious or Different [Wilson 2025]- code to explore the ideas from this paper."
"multi-agent-team","Agentic AI with multi-agent framework comparison: CrewAI vs AutoGen for a research & writing team example"
"agentic-rag","Agentic RAG implementations 3-way horse-race: LlamaIndex, LangChain, SmolAgents"
"kimi-k2-cloud-setup","Toolkit / setup scripts for hosting Kimi K2 on cloud providers VastAI & RunPod"
"q-variance","Generating time series data that shows q-variance over all time scales."
"the-allchemist","The aLLcheMist - agentic LLMs for computational chemistry"
"reverse-stress-testing","Reversed Stress Testing for Resilience - an implementation. From max acceptable loss threshold, work backward to identify the specific scenarios most likely to cause this unfavorable disruption."
"bnn-for-qec-decoder","Bayesian Neural Network for Quantum Error Correction Decoding"
"quantum-game-of-life","Quantum extension of Conway's game of life using full quantum Hamiltonian method & Pennylane"
"quantum-game-of-life-3x","Semi quantum extension of Conway's Game of Life in 3 languages: python, F#, Q#"
"turing-machine-app","Turing machine emulator app"
"mcmc-bnn","Markov Chain Monte Carlo for Bayesian Neural Nets - an application to network models of systemic risk"
"mcmc-covar","Markov Chain Monte Carlo for estimating CoVaR - a measure for systemic risk"
"piecewise-linear-surfaces-in-deep-learning","Demonstration that modern deep learning models with ReLU-like activation functions produce piecewise linear surfaces. This is an important geometric insights about neural networks."
"diff-prog-for-derivative-greeks","Differentiable programming for estimating financial derivative greek sensitivities"
"financial-contract-combinators","Functional approach to financial derivatives using composable contract primitives, with QuantLib integration for pricing and Greeks."
"functional-programming-in-llm-interactions","Functional programming and category theory in LLM interactions"
"chemistry-on-quantum","Chemisty calculation on a quantum computer - finding the groundstate energy for H2 using a VQE variational quantum eigensolver"
"quantum-computing-for-finance","Quantum computing for banking & finance"
"local-rag-pipeline","A production-ready RAG pipeline combining vector search and knowledge graphs for intelligent, privacy-first document Q&A - all running locally on your machine."
"canadian-housing-market","Canadian housing market sentiment"
"canadian-national-accounts","Visualizing Canadian national accounts data."
"network-filtering-finance","Network filtering methods in finance - PMFG, TMFG"
"housing-abm","The INET UK housing model translated to python for Canada"
"soc-economics-finance","Self-Organized Criticality in economics & finance. Python implementations demonstrating how economic and financial systems self-organize toward critical points where small shocks trigger large disruptions, based on Bouchaud's 2025 paper on Self-Organized Criticality."
"bdh-welsh-dragons","Interpretability Baby Dragon Hatchling Experiment: Tracking Concept Formation and Synaptic Strengthening on Mabinogion Welsh folk tales. "
"covid-sfc-model","COVID and Global Capital Flows - Analyzing how massive COVID-19 monetary stimulus in developed countries affected cross-border capital flow volatility, asset price inflation, and financial stability risks in small open economies like Canada using a SFC macroeconomic model."
"quantlib-xva-engine","A demonstration XVA value adjustment engine based on the QuantLib pricing engine. "
"qec-frameworks","Quantum Error Correction Frameworks - exploring the open-source frameworks"
"ai-literacy","What does it mean to be AI literate & how do we learn to better harness the human-machine symbiosis?"
"quantum-dominoes","Quantum extensions to the game of dominoes"
"quantum-recommender","A quantum recommender system - how quantum mechanics mathematics can provide a theoretically interesting alternative to classical collaborative filtering"
"Canada-SFC-Model","A Canadian Stock Flow Consistent (SFC) Macroeconomic Model based on the Italy SFC Model by Marco Veronese Passarella."
"pseudo-spectral-landscapes","Pseudo-spectral landscapes and their relevance to understanding Large Language Models (LLMs) through geometric approaches."
"canada-sfc","A Stock Flow Consistent (SFC) Macroeconomic Model for Canada using the bimets R package."
"sudoqu","Quantum Sudoko - exploring quantum variants of the rules or quantum solutions to the standard game"
"baqgammon","Quantum backgammon"
"geometric-qec","A Geometric Perspective on Quantum Error Correction"
